Question,Option A,Option B,Option C,Option D,Answer,
Is Python case sensitive when dealing with identifiers?,yes,no, machine dependent,None of these,yes,
Which of the following is invalid?, _a = 1, __a = 1,__str__ = 1, none of the mentioned, none of the mentioned,
Which of the following is an invalid variable?, my_string_1, 1st_string,foo,_, 1st_string,
Which of the following is not a keyword?,eval,assert,nonlocal,pass,eval,
Which of these in not a core data type,Lists,Dictionary,Tuples,Class,Class,
Which of the following results in a SyntaxError?," ‘”Once upon a time…”, she said.’"," “He said, ‘Yes!'”", ‘3\’, ”’That’s okay”’, ‘3\’,
What is the return value of trunc()?, int,bool,float,None,int,
Which of the following is the truncation division operator?,/,%, //,|,//,
The output of executing string.ascii_letters can also be achieved by:, string.ascii_lowercase_string.digits,string.ascii_lowercase+string.ascii_upercase,string.letters,string.lowercase_string.upercase,string.ascii_lowercase+string.ascii_upercase,
What arithmetic operators cannot be used with strings?, +,*,–, All of the mentioned,–,
To concatenate two strings to a third what statements are applicable?, s3 = s1 . s2,s3 = s1.add(s2),s3 = s1.__add__(s2),s3 = s1 * s2,s3 = s1.__add__(s2),
"What is “Hello”.replace(“l”, “e”)?", Heeeo,Heelo,Heleo,None, Heeeo,
"To check whether string s1 contains another string s2, use ________", s1.__contains__(s2),s2 in s1,s1.contains(s2),si.in(s2),s1.__contains__(s2),
"Suppose i is 5 and j is 4, i + j is same as ________", i.__add(j), i.__add__(j), i.__Add(j),i.__ADD(j), i.__add__(j),
What function do you use to read a string?,input(“Enter a string”),eval(input(“Enter a string”)), enter(“Enter a string”),eval(enter(“Enter a string”)),input(“Enter a string”),
